Country,StationID,datetime,discharge
LA ,11201,1981-01-01,2310
LA ,11201,1981-01-02,2010
LA ,11201,1981-01-03,2000
LA ,11201,1981-01-04,1970
LA ,11201,1981-01-05,2000
LA ,11201,1981-01-06,2040
LA ,11201,1981-01-07,2060
LA ,11201,1981-01-08,2060
LA ,11201,1981-01-09,2030
LA ,11201,1981-01-10,2000
LA ,11201,1981-01-11,1900
LA ,11201,1981-01-12,1850
LA ,11201,1981-01-13,1830
LA ,11201,1981-01-14,1790
LA ,11201,1981-01-15,1760
LA ,11201,1981-01-16,1730
LA ,11201,1981-01-17,1760
LA ,11201,1981-01-18,1740
LA ,11201,1981-01-19,1710
LA ,11201,1981-01-20,1690
LA ,11201,1981-01-21,1670
LA ,11201,1981-01-22,1640
LA ,11201,1981-01-23,1620
LA ,11201,1981-01-24,1610
LA ,11201,1981-01-25,1590
LA ,11201,1981-01-26,1580
LA ,11201,1981-01-27,1560
LA ,11201,1981-01-28,1550
LA ,11201,1981-01-29,1520
LA ,11201,1981-01-30,1520
LA ,11201,1981-01-31,1560
LA ,11201,1981-02-01,1580
LA ,11201,1981-02-02,1560
LA ,11201,1981-02-03,1550
LA ,11201,1981-02-04,1500
LA ,11201,1981-02-05,1450
LA ,11201,1981-02-06,1440
LA ,11201,1981-02-07,1400
LA ,11201,1981-02-08,1380
LA ,11201,1981-02-09,1370
LA ,11201,1981-02-10,1350
LA ,11201,1981-02-11,1350
LA ,11201,1981-02-12,1340
LA ,11201,1981-02-13,1330
LA ,11201,1981-02-14,1350
LA ,11201,1981-02-15,1380
LA ,11201,1981-02-16,1430
LA ,11201,1981-02-17,1490
LA ,11201,1981-02-18,1470
LA ,11201,1981-02-19,1430
LA ,11201,1981-02-20,1350
LA ,11201,1981-02-21,1340
LA ,11201,1981-02-22,1300
LA ,11201,1981-02-23,1220
LA ,11201,1981-02-24,1210
LA ,11201,1981-02-25,1200
LA ,11201,1981-02-26,1180
LA ,11201,1981-02-27,1170
LA ,11201,1981-02-28,1160
LA ,11201,1981-03-01,1170
LA ,11201,1981-03-02,1180
LA ,11201,1981-03-03,1160
LA ,11201,1981-03-04,1130
LA ,11201,1981-03-05,1090
LA ,11201,1981-03-06,1080
LA ,11201,1981-03-07,1070
LA ,11201,1981-03-08,1120
LA ,11201,1981-03-09,1140
LA ,11201,1981-03-10,1190
LA ,11201,1981-03-11,1230
LA ,11201,1981-03-12,1230
LA ,11201,1981-03-13,1190
LA ,11201,1981-03-14,1160
LA ,11201,1981-03-15,1160
LA ,11201,1981-03-16,1140
LA ,11201,1981-03-17,1160
LA ,11201,1981-03-18,1180
LA ,11201,1981-03-19,1160
LA ,11201,1981-03-20,1140
LA ,11201,1981-03-21,1130
LA ,11201,1981-03-22,1100
LA ,11201,1981-03-23,1080
LA ,11201,1981-03-24,1060
LA ,11201,1981-03-25,1050
LA ,11201,1981-03-26,1040
LA ,11201,1981-03-27,1040
LA ,11201,1981-03-28,1050
LA ,11201,1981-03-29,1060
LA ,11201,1981-03-30,1060
LA ,11201,1981-03-31,1080
LA ,11201,1981-04-01,1080
LA ,11201,1981-04-02,1100
LA ,11201,1981-04-03,1100
LA ,11201,1981-04-04,1100
LA ,11201,1981-04-05,1100
LA ,11201,1981-04-06,1090
LA ,11201,1981-04-07,1080
LA ,11201,1981-04-08,1080
LA ,11201,1981-04-09,1080
LA ,11201,1981-04-10,1050
LA ,11201,1981-04-11,1050
LA ,11201,1981-04-12,1020
LA ,11201,1981-04-13,1040
LA ,11201,1981-04-14,1040
LA ,11201,1981-04-15,1050
LA ,11201,1981-04-16,1060
LA ,11201,1981-04-17,1070
LA ,11201,1981-04-18,1100
LA ,11201,1981-04-19,1120
LA ,11201,1981-04-20,1130
LA ,11201,1981-04-21,1120
LA ,11201,1981-04-22,1120
LA ,11201,1981-04-23,1160
LA ,11201,1981-04-24,1190
LA ,11201,1981-04-25,1160
LA ,11201,1981-04-26,1130
LA ,11201,1981-04-27,1160
LA ,11201,1981-04-28,1310
LA ,11201,1981-04-29,1340
LA ,11201,1981-04-30,1430
LA ,11201,1981-05-01,1400
LA ,11201,1981-05-02,1370
LA ,11201,1981-05-03,1420
LA ,11201,1981-05-04,1510
LA ,11201,1981-05-05,1670
LA ,11201,1981-05-06,1750
LA ,11201,1981-05-07,1710
LA ,11201,1981-05-08,1660
LA ,11201,1981-05-09,1620
LA ,11201,1981-05-10,1600
LA ,11201,1981-05-11,1570
LA ,11201,1981-05-12,1540
LA ,11201,1981-05-13,1530
LA ,11201,1981-05-14,1670
LA ,11201,1981-05-15,1730
LA ,11201,1981-05-16,1880
LA ,11201,1981-05-17,2130
LA ,11201,1981-05-18,2340
LA ,11201,1981-05-19,2600
LA ,11201,1981-05-20,2730
LA ,11201,1981-05-21,3120
LA ,11201,1981-05-22,4870
LA ,11201,1981-05-23,4890
LA ,11201,1981-05-24,5320
LA ,11201,1981-05-25,5510
LA ,11201,1981-05-26,4920
LA ,11201,1981-05-27,4640
LA ,11201,1981-05-28,4580
LA ,11201,1981-05-29,4700
LA ,11201,1981-05-30,4700
LA ,11201,1981-05-31,5380
LA ,11201,1981-06-01,5220
LA ,11201,1981-06-02,4800
LA ,11201,1981-06-03,4360
LA ,11201,1981-06-04,3990
LA ,11201,1981-06-05,3920
LA ,11201,1981-06-06,3640
LA ,11201,1981-06-07,3570
LA ,11201,1981-06-08,3500
LA ,11201,1981-06-09,3720
LA ,11201,1981-06-10,4020
LA ,11201,1981-06-11,4250
LA ,11201,1981-06-12,4390
LA ,11201,1981-06-13,5220
LA ,11201,1981-06-14,5590
LA ,11201,1981-06-15,5690
LA ,11201,1981-06-16,7020
LA ,11201,1981-06-17,7320
LA ,11201,1981-06-18,6610
LA ,11201,1981-06-19,6180
LA ,11201,1981-06-20,5710
LA ,11201,1981-06-21,5710
LA ,11201,1981-06-22,5670
LA ,11201,1981-06-23,6150
LA ,11201,1981-06-24,7090
LA ,11201,1981-06-25,7540
LA ,11201,1981-06-26,7740
LA ,11201,1981-06-27,7660
LA ,11201,1981-06-28,7360
LA ,11201,1981-06-29,7220
LA ,11201,1981-06-30,7160
LA ,11201,1981-07-01,7350
LA ,11201,1981-07-02,7140
LA ,11201,1981-07-03,6720
LA ,11201,1981-07-04,6810
LA ,11201,1981-07-05,6940
LA ,11201,1981-07-06,7260
LA ,11201,1981-07-07,7840
LA ,11201,1981-07-08,8530
LA ,11201,1981-07-09,8790
LA ,11201,1981-07-10,8960
LA ,11201,1981-07-11,8610
LA ,11201,1981-07-12,8650
LA ,11201,1981-07-13,8650
LA ,11201,1981-07-14,8590
LA ,11201,1981-07-15,8250
